Formula,Tc,Materials_family
Tl1.8Ba2Ca2.2Cu3O9.92,112,cuprate
Tl2Ba2Ca1Cu2O7.833,112,cuprate
Tl2Ba2Ca2Cu3O9.964,112,cuprate
Bi0.9Nd0.05Tb0.05Pb1Sr2Ca2Cu3O10,111,cuprate
Bi1.7Pb0.3Sr2Ca2Cu3F0.2O9.8,111,cuprate
Sr2Ca2Cu3F3.2O6.2,111,cuprate
Tl0.25Li0.25Ba2Ca2Cu3Si0.5O7.835,111,cuprate
Tl2Ba2Ca2Cu3O9.877,111,cuprate
B1Sr2Ca3Cu4O11,110,cuprate
Ca0.27Sr0.63Cu1O2,110,cuprate
Ca0.285Sr0.665Cu1O2,110,cuprate
Hg0.5Pb0.5Ba2Ca4Cu5O12.5,110,cuprate
Hg0.7Bi0.3Sr2Ca2Cu3O8.15,110,cuprate
Hg1Ba2Ca1Cu2O6.27,110,cuprate
Hg1Tl1Ba2Ca3Cu4O12,110,cuprate
Tl0.5Ba2Ca1Be2Cu4.5O9.948,110,cuprate
Tl2Ba2Ca1Cu1.98Fe0.02F0.1O7.95,110,cuprate
Tl2Ba2Ca1Cu2O7.876,110,cuprate
Tl2Ba2Ca2Cu3O9.841,110,cuprate
Bi1.6Pb0.3Sb0.1Sr2Ca2Cu3O10,109,cuprate
Sr2Ca2Cu3O5.5,109,cuprate
Tl2Ba2Ca1Cu1.98Fe0.02F0.2O7.9,109,cuprate
Bi2Sr2Ca2Cu3O10.28,108.7,cuprate
Bi1.65Pb0.35Sr2Ca2Cu3O10,108.6,cuprate
Hg1Ba2Ca2Cu3O8.22,108.5,cuprate
Ba2Ca1Cu2F1.6O4.4,108,cuprate
Bi1.6Pb0.4Sr2Ca2Cu3O10,108,cuprate
Bi1.8Pb0.3Sr2Ca2Cu3O10,108,cuprate
Bi0.6Nd0.2Tb0.2Pb1Sr2Ca2Cu3O10,107.5,cuprate
Bi1.7Pb0.3Sr2Ca2Cu3O10,107.25,cuprate
Bi1.8Pb0.4Sr1.85Ca2.05Cu3O10.26,107,cuprate
Ga1Sr2Ca3Cu4O11.1,107,cuprate
Hg0.5Bi0.5Sr2Ca2Cu3O8.35,107,cuprate
Hg0.7Bi0.3Sr2Ca2Cu3O8.35,107,cuprate
Tl2Ba2Ca1Cu2O7.946,107,cuprate
Tl2Ba2Ca1Cu2O7.958,107,cuprate
V0.5Sr2.7Ca2.3Cu4.5O11.6,107,cuprate
Ba2Ca1Cu2F1.4O4.6,106,cuprate
Tl2Ba2Ca1Cu1.98Fe0.02O8,106,cuprate
Tl1Ba2Ca1Cu2O8,105.981667,cuprate
Bi1.6Pb0.4Sr2Ca2Cu3O10.11,105.3,cuprate
Tl0.5Pb0.5Sr2Ca0.8Y0.2Cu2O7,105.2,cuprate
Hg1Ba2Ca1Cu2O6.14,105,cuprate
Hg1Ba2Ca2Cu3O8.2,104.5,cuprate
Bi1.4Pb0.6Sr2Ca1.9Ga0.1Cu3O7,104.4,cuprate
Hg0.7Bi0.3Sr2Ca2Cu3O8.65,104,cuprate
Tl1.8Ba2Ca0.85Cu2.2O8,104,cuprate
Bi0.16Pb0.35V0.05Sr2Ca2Cu3O10.12,103.7,cuprate
Bi1.6Pb0.35V0.05Sr2Ca2Cu3O10.12,103.7,cuprate
Ba2Ca3Cu4F1.2O8.8,103.5,cuprate
Bi1Pb1Sr2Ca2Cu3O10,103.5,cuprate
Ba2Ca3Cu4F1O9,103,cuprate
Cu3.5Sr2Ca2Cr0.5O9.55,103,cuprate
Hg0.5Pb0.5Ba2Ca2Cu3O8.45,103,cuprate
Tl1.6Ba2Ca3.3Cu4O11.89,103,cuprate
Tl2Ba2Ca0.8Ce0.2Cu2O8,103,cuprate
Tl2Ba2Ca0.9Ce0.1Cu1.98Fe0.02F0.2O7.9,103,cuprate
Bi0.16Pb0.3V0.1Sr2Ca2Cu3O10.12,102.5,cuprate
Bi1.6Pb0.3Sr2Ca2Cu3V0.1O10.12,102.5,cuprate
Bi1.6Pb0.4Sr2Ca2Cu3O10.07,102.3,cuprate
Ba2Ca2Cu3F1.6O6.4,102,cuprate
Hg0.8Bi0.2Sr2Ca2Cu3O8.35,102,cuprate
Hg1Ba2Ca1Cu2O6.13,102,cuprate
Tl0.5Pb0.5Sr1.84Nd0.16Ca1Cu2O7,102,cuprate
Tl1Ba2Ca0.65Y0.35Cu2O7,102,cuprate
Hg1Ba2Ca2Cu3O8.16,101,cuprate
Tl2Ba2Ca1Cu1.98Fe0.02F0.3O7.85,101,cuprate
Cu3S0.5Sr2Ca2O12,100,cuprate
Ga1Sr2Ca3Cu4O10.9,100,cuprate
Hg1Ba2Ca1Cu2O6.3,100,cuprate
Tl1Ba2Ca0.8Nd0.2Cu2O6.86,100,cuprate
Tl2Ba2Ca0.9Ce0.1Cu2O8,100,cuprate
Tl0.5Pb0.5Sr2Ca0.9Y0.1Cu2O7,99.3,cuprate
Sr2Ca1Cu2F2O4.6,99,cuprate
Tl0.25Li0.25Ba2Ca2Cu2.25Si1.25O7.719,99,cuprate
Tl2Ba2Ca0.9Ce0.1Cu1.98Fe0.02O8,99,cuprate
Y1Ba1.925La0.075Cu3O6.9,99,cuprate
Y1Ba1.95La0.05Cu3O6.9,99,cuprate
Y1Ba1.975La0.025Cu3O6.95,99,cuprate
Hg1Ba2Ca1Cu2O6.31,98,cuprate
Hg1Ba2Cu1O4.081,98,cuprate
Sr0.6Ca0.333Cu1O2.2,98,cuprate
Sr1.4Ba0.6Cu1O3.4,98,cuprate
V0.5Sr2.25Ca1.75Cu3.5O9.7,98,cuprate
Tl1Ba2Ca0.8Y0.2Cu2O7,97.6,cuprate
Hg1Ba2Cu1O4.162,97.4,cuprate
Bi1.6Pb0.4Sr2Ca2Cu3O10.15,97,cuprate
Hg0.95Re0.05Ba2Cu1O4.372,97,cuprate
Hg1Ba2Cu1O4.15,97,cuprate
Hg1Ba2Cu1O4.22,97,cuprate
Hg0.9Re0.1Ba2Cu1O4.425,96.8,cuprate
Hg0.92Ba2.05Cu1.03O4.062,96.5,cuprate
Hg0.85Re0.15Ba2Cu1O4.525,96.3,cuprate
Hg0.85Re0.15Ba2Cu1O4.53,96.3,cuprate
Tl1Ba2Ca0.8Nd0.2Cu2O7,96.3,cuprate
Bi2Sr2.1Y0.1Ca0.8Cu2O8.26,96,cuprate
Hg0.95Re0.05Ba2Cu1O4.37,96,cuprate
Hg1Ba2Ca2Cu3O8.17,96,cuprate
Y0.8Ba2Cu3O6.44,96,cuprate
Y1.1Ba2Cu3O6.87,95.9,cuprate
Tl1Ba2Ca0.6Y0.4Cu2O7,95.8,cuprate
Hg1Ba2Cu1O4.096,95.6,cuprate
Tl1Ba2Ca0.7Nd0.3Cu2O7,95.5,cuprate
Bi2Sr2.08Ca0.92Cu2O8,95.3,cuprate
Hg1Ba2Cu1O4.097,95.3,cuprate
Nd1Ba2Cu3O7.16,95.3,cuprate
Hg1Ba2Cu1O4.18,95.16,cuprate
Bi2Sr2Ca2Cu4O11,95,cuprate
Hg1Ba2Cu1O4.047,95,cuprate
Nd1Ba2Cu3O6.82,95,cuprate
Sr2Ca3Cu4F3.8O8,95,cuprate
Tl0.5Ba2Ca1.3Be0.7Cu3.5O7.886,95,cuprate
Tl2Ba2Ca1Cu2O7.978,95,cuprate
Eu1Ba2Cu3O7.1,94.9,cuprate
Hg0.85Re0.15Ba2Cu1O4.52,94.8,cuprate
Eu1Ba2Cu3O6.97,94.77,cuprate
Hg0.9Re0.1Ba2Cu1O4.41,94.5,cuprate
Y0.975Ca0.025Ba2Cu2.975Al0.025O6.89,94.5,cuprate
Y1Ba2Cu3H0.2O6.98,94.5,cuprate
Hg0.9Re0.1Ba2Cu1O4.42,94.4,cuprate
Y1Ba2Cu2.95Co0.05O6.92,94.3,cuprate
Bi2Sr2.4Ca0.6Cu2O8,94.2,cuprate
Bi8Sr8Ca4Cu9O34.16,94.2,cuprate
Gd1Ba2Cu3O6.98,94.2,cuprate
Hg1Ba2Cu1O4.2,94.2,cuprate
Bi2Sr1.9Y0.1Ca1Cu2O8.24,94,cuprate
Dy1Ba2Cu3O6.75,94,cuprate
Eu1Ba2Cu3O6.82,94,cuprate
Eu1Ba2Cu3O6.88,94,cuprate
Hg1Ba2Ca2Cu3O8.18,94,cuprate
Nd1Ba2Cu3O6.76,94,cuprate
Sm1Ba2Cu3O6.944,94,cuprate
Y1Ba1.92La0.08Cu3O6.96,94,cuprate
Y1Ba1.94La0.06Cu3O6.96,94,cuprate
Er0.97Pr0.03Ba2Cu3O7,93.9,cuprate
Y1Ba1.9La0.1Cu3O6.975,93.9,cuprate
Gd1Ba2Cu3O7.08,93.8,cuprate
Hg0.92Ba2.05Cu1.03O4.05,93.8,cuprate
Y0.2Eu0.8Ba2Cu3O7,93.8,cuprate
Y1Ba1.95La0.05Cu3O6.96,93.8,cuprate
Y1Ba2Cu3H0.38O7,93.8,cuprate
Y1Ba1.7Cs0.3Cu3O6.6,93.75,cuprate
Hg0.85Re0.15Ba2Cu1O4.49,93.7,cuprate
Hg0.85Re0.15Ba2Cu1O4.55,93.7,cuprate
Y0.95La0.05Ba2Cu3O6.58,93.65,cuprate
Bi2Sr2.65Ca0.35Cu2O8,93.6,cuprate
Eu1Ba2Cu3O6.94,93.6,cuprate
Tl1Ba2Ca0.8Gd0.2Cu2O7,93.6,cuprate
Y1Ba1.89La0.11Cu3O6.96,93.6,cuprate
Y1Ba1.96La0.04Cu3O6.96,93.6,cuprate
Y1Ba2Cu3H0.49O7,93.6,cuprate
Sm1Ba2Cu3O7.11,93.5,cuprate
Y1Ba1.9La0.1Cu3O6.96,93.5,cuprate
Y1Ba2Cu3H0.13O7,93.5,cuprate
Y1Ba2Cu3H0.19O7,93.5,cuprate
Y1Ba1.9Cs0.1Cu3O6.65,93.45,cuprate
Hg0.92Ba2.05Cu1.03O4.063,93.4,cuprate
Hg1Ba2Cu1O4.101,93.4,cuprate
Y0.9Ba2Cu3O6.58,93.4,cuprate
Y1.2Ba2Cu3O6.98,93.4,cuprate
Y1Ba2Cu2.98Co0.02O6.9,93.4,cuprate
Y1Ba1.9Rb0.1Cu3O6.52,93.35,cuprate
Y1Ba1.8Cs0.2Cu3O6.58,93.3,cuprate
Y0.5Cd0.5Ba2Cu3O7,93.2,cuprate
Y1Ba1.88La0.12Cu3O6.96,93.2,cuprate
Y1Ba1.97La0.03Cu3O6.96,93.2,cuprate
Y1Ba2Cu3H1O7,93.2,cuprate
Y2La0.15Ba3.85Cu6O13.99,93.2,cuprate
Gd0.97Pr0.03Ba2Cu3O7,93.1,cuprate
Y2Ba4Cu7O14.97,93.1,cuprate
Bi1.2Pb0.8Sr2Ca1Cu2O8,93,cuprate
Bi2.15Sr1.8Ca1Cu2O8.15,93,cuprate
Bi2Sr1.8Y0.1Ca1.1Cu2O8.23,93,cuprate
Er1Ba2Cu3O6.85,93,cuprate
Ga1Sr2Ca3Cu4O10.8,93,cuprate
Gd1.1Ba1.9Cu3O7,93,cuprate
Hg0.8V0.2Ba2Cu1O4.3,93,cuprate
La1Ba2Cu3O6.85,93,cuprate
Nd1Ba2Cu3O6.84,93,cuprate
Tl1Sr2Ca0.2Y0.8Cu2O6.97,93,cuprate
Y1Ba1.8K0.2Cu3O6.57,93,cuprate
Y1Ba2Cu3.85O6.85,93,cuprate
Y1Ba2Cu3O6.85,93,cuprate
Y2Ba4Cu6O13.9,93,cuprate
Y2La0.2Ba3.8Cu6O13.92,93,cuprate
Gd1Ba2Cu3O6.89,92.9,cuprate
Ho1Ba2Cu3O6.71,92.9,cuprate
Y1Ba1.7K0.3Cu3O6.54,92.85,cuprate
Y1Ba1.9La0.1Cu3O6.73,92.85,cuprate
Y0.7Cd0.3Ba2Cu3O7,92.8,cuprate
Y0.8Cd0.2Ba2Cu3O7,92.8,cuprate
Y1Ba2Cu3H0.06O6.91,92.8,cuprate
Y2Ba4Cu7O15.1,92.8,cuprate
Yb1Ba2Cu3O6.9,92.8,cuprate
Dy1Ba2Cu3O6.82,92.7,cuprate
Y1Ba1.9K0.1Cu3O6.61,92.7,cuprate
Bi2Sr2Ca0.8Y0.2Cu2O8.27,92.6,cuprate
Y0.6Eu0.4Ba2Cu3O7,92.6,cuprate
Y1Ba1.92La0.08Cu3O6.965,92.6,cuprate
Y1Ba1.98La0.02Cu3O6.96,92.6,cuprate
Bi2Sr2Ca1Cu1.988Ni0.012O8,92.55,cuprate
Bi2Sr2Ca0.8Lu0.2Cu2O8.27,92.5,cuprate
Hg1Ba2Ca1Cu2O6.1,92.5,cuprate
Hg1Ba2Cu1O4.103,92.5,cuprate
Tm1Ba2Cu3O6.65,92.5,cuprate
Y1Ba2Cu3H0.14O7,92.5,cuprate
Ho1Ba2Cu3O7,92.475,cuprate
Gd1Ba2Cu3O6.99,92.45,cuprate
Y0.95Cs0.05Ba2Cu3O6.61,92.45,cuprate
Er1Ba2Cu3O6.82,92.4,cuprate
Y0.9Rb0.1Ba2Cu3O6.42,92.4,cuprate
Y1Ba2Cu3O6.906,92.4,cuprate
Y0.9La0.1Ba2Cu3O6.62,92.35,cuprate
Dy1Ba2Cu3O6.9,92.3,cuprate
Y0.925Ba1.975Ca0.1Cu4O8,92.3,cuprate
Y1.2Ba1.8Cu3O6.68,92.3,cuprate
Y1Ba2Cu2.94Zr0.06O6.81,92.3,cuprate
Bi2Sr2Ca1Cu2O8.272,92.2,cuprate
Y1Ba2Cu3O6.962,92.15,cuprate
Hg0.92Ba2.05Cu1.03O4.058,92.1,cuprate
Y1Ba1.99La0.01Cu3O6.96,92.1,cuprate
Y0.95Rb0.05Ba2Cu3O6.59,92.05,cuprate
Y0.9K0.1Ba2Cu3O6.51,92.05,cuprate
Er1Ba2Cu3O7,92.033333,cuprate
Bi0.33Hg0.67Sr2Y0.5Ca0.5Cu2O7,92,cuprate
Bi2Sr2Ca0.8Y0.2Cu2O8.26,92,cuprate
Bi2Sr2Ca1Cu2O8.194,92,cuprate
Er1Ba2Cu3O6.91,92,cuprate
Eu1Ba2Cu3O6.5,92,cuprate
Gd1Ba2Cu3O6.758,92,cuprate
Gd1Ba2Cu3O6.9,92,cuprate
Hg1Ba2Ca1Cu2O6.08,92,cuprate
Hg1Ba2Cu1O4.085,92,cuprate
Nd1.1Ba1.9Cu3O6.9,92,cuprate
Tl0.5Pb0.5Sr2Ca0.65Y0.35Cu2O7,92,cuprate
Tl1Sr2Ca0.3Y0.7Cu2O6.97,92,cuprate
Tl1Sr2Ca0.4Y0.6Cu2O6.93,92,cuprate
Tl1Sr2Ca0.5Y0.5Cu2O6.89,92,cuprate
Y0.95Ca0.05Ba2Cu2.95Al0.05O6.88,92,cuprate
Y1Ba1Sr1Cu3O6.9,92,cuprate
Y1Ba2Cu2.925Co0.075O6.97,92,cuprate
Y1Ba2Cu2.97Co0.03O6.96,92,cuprate
Y1Ba2Cu2.9Al0.1O6.93,92,cuprate
Y1Ba2Cu3Br0.9O6.2,92,cuprate
Y1Ba2Cu3H1.4O6.98,92,cuprate
Y1Re0.05Ba2Cu2.95O7.02,92,cuprate
Y1Re0.05Ba2Cu2.95O7.04,92,cuprate
Y0.85Rb0.15Ba2Cu3O6.48,91.95,cuprate
Y1Ba1.86La0.14Cu3O6.96,91.9,cuprate
Y1Ba1.9La0.1Cu3O7.06,91.9,cuprate
Ho1Ba2Cu3O6.96,91.8,cuprate
Tl1Ba2Ca0.9Gd0.1Cu2O7,91.8,cuprate
Y0.887Ba1.962Ca0.15Cu4O8,91.8,cuprate
Y1Ba1.96Sr0.04Cu3O6.98,91.8,cuprate
Y1Ba2Cu2.95Fe0.05O6.92,91.8,cuprate
Y1Ba2Cu3O6.939,91.8,cuprate
Y1Ba2Cu3O6.955,91.8,cuprate
Y1Ba2La1.94Cu3O6.963,91.8,cuprate
Y1Ba2Cu3O6.93,91.7375,cuprate
Nd1Ba2Cu3O6.81,91.7,cuprate
Y0.4Cd0.6Ba2Cu3O7,91.7,cuprate
Y0.6Cd0.4Ba2Cu3O7,91.7,cuprate
Y0.95Sc0.05Ba2Cu3O6.63,91.7,cuprate
Y1Ba1.8La0.2Cu3O6.81,91.7,cuprate
Y1Ba2Cu3H0.52O6.91,91.7,cuprate
Bi2Sr2Ca0.8Yb0.2Cu2O8.26,91.65,cuprate
Y1Ba2Cu3O7.1,91.65,cuprate
Hg0.92Ba2.05Cu1.03O4.065,91.6,cuprate
Y0.85Ba1.95Ca0.2Cu4O8,91.6,cuprate
Bi2Sr3Cu2O8,91.5,cuprate
Er1Ba2Cu3O6.94,91.5,cuprate
Ho1Ba2Cu3O6.9,91.5,cuprate
Nd1Ba2Cu3O6.93,91.5,cuprate
Y0.95Pr0.05Ba2Cu3O6.95,91.5,cuprate
Y0.95Pr0.05Ba2Cu3O6.97,91.5,cuprate
Y0.962Ba1.987Ca0.05Cu4O8,91.5,cuprate
Y0.975Ca0.025Ba2Cu3O6.95,91.5,cuprate
Y1Ba1.9K0.1Cu3O6.9,91.5,cuprate
Y1Ba2Cu2.96Co0.04O7,91.5,cuprate
Y1Re0.15Ba2Cu2.85O7.07,91.5,cuprate
Y1Re0.1Ba2Cu2.9O7,91.5,cuprate
Dy0.95Pr0.05Ba2Cu3O6.9,91.4,cuprate
Y0.2Yb0.8Ba2Cu3O6.91,91.4,cuprate
Y0.9Sc0.1Ba2Cu3O6.56,91.4,cuprate
Y1Ba2Cu2.955Fe0.045O6.93,91.4,cuprate
Y1Ba2Cu3H0.91O6.91,91.4,cuprate
Y0.9Cs0.1Ba2Cu3O6.47,91.3,cuprate
Bi2Sr2Ca0.8Dy0.2Cu2O8.26,91.25,cuprate
Y1.1Ba1.9Cu3O6.65,91.25,cuprate
Y1Ba2Cu3H0.32O6.91,91.25,cuprate
Y1Ba2Cu2.95Co0.05O6.88,91.2,cuprate
Y1Ba2Cu3O6.951,91.19,cuprate
Y1Ba2Cu3Li0.02O7,91.18,cuprate
Bi2Sr1.8Ca1Lu0.2Cu2O8.27,91.1,cuprate
Er0.924Pr0.076Ba2Cu3O7,91.1,cuprate
Nd1Ba1.8Sr0.2Cu3O6.96,91.1,cuprate
Sm1Ba2Cu3O6.878,91.1,cuprate
Y0.4Yb0.6Ba2Cu3O6.93,91.1,cuprate
Y0.9Ca0.1Ba2Cu2.9Al0.1O6.88,91.1,cuprate
Y1Ba2Cu3H0.27O6.91,91.1,cuprate
Y1Ba2Cu3O6.821,91.1,cuprate
Y1Ba1.7Rb0.3Cu3O6.52,91.05,cuprate
Ba2Ca3Cu4F1.4O8.6,91,cuprate
Bi1.4Pb0.6Sr2Ca1Cu2O8,91,cuprate
Bi2Sr2Ca1Cu2O8.118,91,cuprate
Bi2Sr2Ca1Cu2O8.195,91,cuprate
Er1Ba2Cu3O6.93,91,cuprate
Eu1Ba2Cu3O6.9,91,cuprate
Gd1Ba2Cu3O6.969,91,cuprate
Hg0.8Mn0.2Ba2Cu1O4.2,91,cuprate
Nd1Ba2Cu3O6.98,91,cuprate
Sm1Ba2Cu3O6.86,91,cuprate
Tl1.63Ba2Ca1.3Cu2O7.94,91,cuprate
Tl2Ba2Ca1Cu2O7.984,91,cuprate
Y0.14Tm0.85Ba2Cu3O7,91,cuprate
Y0.68Tb0.32Ba2Cu3O7,91,cuprate
Y0.99La0.01Ba2Cu3O7.07,91,cuprate
Y0.9La0.1Ba2Cu3O6.97,91,cuprate
Y0.9Tb0.1Ba2Cu3O7,91,cuprate
Y1Ba2Cu2.94Fe0.06O7.254,91,cuprate
Y1Ba2Cu2.95Al0.05O6.93,91,cuprate
Y1Ba2Cu3F0.1O7,91,cuprate
Y1Ba2Cu3F0.25O6.7,91,cuprate
Y1Ba2Cu3F0.29O6.7,91,cuprate
Y1Ba2Cu3F0.2O7,91,cuprate
Y1Ba2Cu3F0.38O6.7,91,cuprate
Y1Ba2Cu3O6.957,91,cuprate
Y1Re0.15Ba2Cu2.85O7.17,91,cuprate
Y1Re0.1Ba2Cu2.9O7.09,91,cuprate
Y1Ba2Cu3H0.14O6.91,90.95,cuprate
Bi2Sr2Ca0.8Gd0.2Cu2O8.27,90.9,cuprate
Er1Ba2Cu3O6.953,90.9,cuprate
Hg1Ba2Cu1O4.105,90.9,cuprate
Y1Ba2Cu2.97Ga0.03O7,90.88,cuprate
Tm1Ba2Cu3O7,90.833333,cuprate
Gd1Ba2Cu3O6.94,90.8,cuprate
Tl1Ba2Ca0.9Nd0.1Cu2O7,90.8,cuprate
Hg0.92Ba2.05Cu1.03O4.044,90.7,cuprate
Sm1Ba2Cu3O6.941,90.7,cuprate
Sm1Ba2Cu3O6.99,90.7,cuprate
Y1Ba2Cu2.98Fe0.02O7,90.7,cuprate
Y1Ba1.9La0.1Cu3O6.99,90.675,cuprate
Bi2Sr2Ca0.8Eu0.2Cu2O8.26,90.65,cuprate
Bi2Sr2Ca1Cu2O8.21,90.6,cuprate
Y1.04Ba1.96Cu3O6.8,90.6,cuprate
Y1Ba2Cu3O6.97,90.575,cuprate
Y1Ba1.8Rb0.2Cu3O6.56,90.55,cuprate
Hg0.9Re0.1Ba2Cu1O4.35,90.5,cuprate
Nd1Ba2Cu3O6.09,90.5,cuprate
Y0.85Ca0.15Ba2Cu2.85Al0.15O6.87,90.5,cuprate
Y1Ba1.8Sr0.2Cu3O6.8,90.5,cuprate
Y1Ba2Cu2.985Ni0.015O6.92,90.5,cuprate
Y1Ba2Cu4O6.998,90.5,cuprate
Bi2Sr1.8Ca1Y0.2Cu2O8.25,90.4,cuprate
Y0.85Cs0.15Ba2Cu3O6.5,90.4,cuprate
Y1Ba2Cu2.98Fe0.02O6.93,90.4,cuprate
Y1La0.2Ba1.8Cu3O7.49,90.4,cuprate
Y1La0.2Ba1.8Cu3O7.79,90.4,cuprate
Tm1Ba2Cu3O6.91,90.36,cuprate
Y1Ba2Cu3F1.65O5.675,90.3,cuprate
Bi2Sr2Ca1Cu2O8.288,90.2,cuprate
Y1Ba2Cu2.98Zr0.02O6.84,90.2,cuprate
Y0.85K0.15Ba2Cu3O6.48,90.15,cuprate
Bi2Sr1.8Ca1Yb0.2Cu2O8.26,90.1,cuprate
Y1Ba2Cu2.93Fe0.03O7,90.1,cuprate
Bi2Sr2Ca1Cu2O8.1,90,cuprate
Bi2Sr2Ca1Cu2O8.245,90,cuprate
Ca1La1Ba1Cu2.8P0.2O7,90,cuprate
Cu2C0.5Sr2Ca1O7,90,cuprate
Dy1Ba2Cu3O6.68,90,cuprate
Dy1Ba2Cu3O6.79,90,cuprate
Dy1Ba2Cu3O6.84,90,cuprate
Er1Ba2.03Cu3.05O7,90,cuprate
Er1Ba2Cu2.95Ga0.05O6.75,90,cuprate
Er1Ba2Cu3O6.92,90,cuprate
Eu1Ba2Cu3O7.01,90,cuprate
Gd1Ba2Cu3O6.95,90,cuprate
Ge0.4Cu3Sr2Ca1.9Y0.1O9.3,90,cuprate
Hg1Tl1Ba2Ca4Cu5O14,90,cuprate
Nd1Ba2Cu3O6.94,90,cuprate
Pb0.7Hg0.3Sr2Nd0.3Ca0.7Cu2O6.6,90,cuprate
Sm1Ba2Cu3O6.858,90,cuprate
Sm1Ba2Cu3O6.89,90,cuprate
Sm1Ba2Cu3O6.92,90,cuprate
Tl1Sr1.5La0.5Ca1Cu2O7,90,cuprate
Y1Ba1.95Cu2.95Co0.05O7,90,cuprate
Y1Ba1.9La0.1Cu3O6.92,90,cuprate
