,tc,family,cf,order
412573.cif,0.93,others,Ir1Sn4,order
414303.cif,2.225,others,Ir2Ga9,order
417473.cif,5.8,others,Y3Os8B6,order
417662.cif,6.3,others,Ba1Al1Ge1,order
418391.cif,6.7,others,Sr1Al1Ge1,order
419206.cif,4.3,others,Ba1Sn3,order
42118.cif,2.22375,others,Cu1Se2,order
422403.cif,3.46,others,Sc1Ir1P1,order
423220.cif,8.8,others,Y1Tc2,order
424686.cif,0.8,others,K1Ni2Se2,order
42549.cif,1.15,others,Pt1Bi1Te1,order
42554.cif,1.61,others,Pd1Te2,order
42597.cif,1.58,others,Pd1Sb1,order
426890.cif,2.94,others,Bi14Rh3,order
427113.cif,0.785,others,Y1Pd2Si2,order
42917.cif,10.0,others,Mo3Al2C1,order
429727.cif,1.7,others,Ir4Ca3Ge4,order
42981.cif,2.3,others,Nb2Se3,order
430061.cif,0.964,others,Ba1Ti2Sb2O1,order
430063.cif,4.6,others,Bi2Ba1Ti2O1,order
431754.cif,0.46,others,K1Ni2S2,order
43263.cif,0.205,others,Mo1As2,order
43281.cif,1.9425,others,Nb3Se4,order
43317.cif,0.8,others,Ru1B2,order
43358.cif,2.29,others,Cd1Sn1As2,order
43662.cif,4.75,others,Re3B1,order
44324.cif,0.72,others,Ti1O1,order
44343.cif,3.05,others,Ru7B3,order
44489.cif,5.8,others,Mo5B2Si1,order
44655.cif,1.2,others,In3Te4,order
44861.cif,0.48,others,Rh1Ge1,order
44868.cif,4.35,others,Rh1Se2,order
44921.cif,0.56,others,Lu1Se1,order
51974.cif,3.2,others,Mg2In1,order
51997.cif,4.9,others,Nb3In1,order
52284.cif,1.77,others,Au2Bi1,order
52288.cif,5.2,others,Tl7Sb2,order
52303.cif,1.43,others,Sn1Sb1,order
52344.cif,1.675,others,W3O1,order
52843.cif,0.85,others,Ce1,order
53424.cif,1.375,others,Eu1,order
53801.cif,5.016667,others,Se1,order
53891.cif,2.12,others,Rh5Ge3,order
53900.cif,2.116667,others,Y3Ru4Ge13,order
55065.cif,3.6,others,Bi1K1,order
56261.cif,2.6575,others,Au2Pb1,order
56782.cif,6.725714,others,La3S4,order
57480.cif,3.8,others,Re2Si1,order
57484.cif,5.1,others,Rh1Ti1Si1,order
57505.cif,4.4,others,Sc1Au2Al1,order
58016.cif,1.075,others,Nb1Ni2Al1,order
58110.cif,5.4,others,Os4Al13,order
58122.cif,3.4,others,Zr1Pd2Al1,order
58149.cif,1.85,others,Re1Al6,order
58395.cif,0.4,others,Au5Ba1,order
58407.cif,0.34,others,Au5Ca1,order
58504.cif,3.02,others,Sc1Au2In1,order
58582.cif,2.0,others,Sc1Au1,order
58589.cif,0.9,others,Au5Sn1,order
58634.cif,5.745,others,Bi3Ba1,order
58721.cif,2.15,others,Be2Nb1,order
58722.cif,2.3,others,Be2Nb3,order
58724.cif,1.47,others,Be17Nb2,order
58794.cif,3.575,others,Bi2K1,order
58817.cif,2.516667,others,Bi1Nb3,order
58821.cif,3.935,others,Bi3Ni1,order
58845.cif,1.21,others,Pt1Bi1,order
58850.cif,4.25,others,Bi2Rb1,order
58854.cif,1.966667,others,Bi4Rh1,order
58900.cif,1.6,others,Hg1Ca1,order
58931.cif,7.4775,others,Ca3Rh4Sn13,order
58942.cif,2.04,others,Tl3Ca1,order
59187.cif,2.425,others,Pt1Sr1As1,order
59473.cif,0.7,others,Pd1In1,order
59484.cif,1.04,others,Y1Pd2In1,order
59569.cif,0.96,others,Y1In3,order
600057.cif,2.65,others,Nb1Ru1Si1,order
600058.cif,3.15,others,Ta1Ru1Si1,order
600059.cif,5.1,others,Re1Nb1Si1,order
600060.cif,4.4,others,Ta1Re1Si1,order
600489.cif,3.175,others,Bi3Rh1,order
600642.cif,0.303333,others,Nb5Ge3,order
600661.cif,7.7,others,Mo6Ag1S8,order
600676.cif,6.0,others,Yb1Mo6Se8,order
600713.cif,8.45,others,Yb1Mo6S8,order
60072.cif,5.7,others,Zr2Ru3Si4,order
601555.cif,1.12,others,Ir1V2B2,order
601565.cif,6.496667,others,Yb1C6,order
602358.cif,1.4,others,K1Cu4S3,order
602553.cif,1.7475,others,La1C2,order
602892.cif,4.0,others,Ta1B1,order
602898.cif,3.4625,others,Rh2Cu1Se4,order
603451.cif,1.6,others,Gd1Mo6S8,order
603457.cif,2.55,others,Pr1Mo6S8,order
603458.cif,3.5,others,Nd1Mo6S8,order
603586.cif,3.4,others,Mo6Sn1Se8,order
603875.cif,0.65,others,Rh2P1,order
604082.cif,4.6,others,Pb3Zr5,order
604606.cif,8.0,others,Os1Zr1As1,order
606030.cif,0.55,others,Au4Al1,order
60646.cif,0.46,others,Y1Ni1Ge3,order
608584.cif,0.58,others,Mo3Al1,order
608629.cif,1.3,others,Nb3Al2N1,order
608975.cif,0.69,others,Zr1Ni2Al1,order
609200.cif,3.35,others,Re24Al5,order
609713.cif,0.175,others,Zr1Al2,order
609742.cif,0.73,others,Zr3Al1,order
610156.cif,1.838,others,Cr1As1,order
610989.cif,2.353333,others,Nb3As1,order
611190.cif,1.15,others,Pd2As1,order
611576.cif,0.9,others,W1As2,order
612077.cif,1.9,others,Y1Au2In1,order
612356.cif,1.25,others,Au1Sn1,order
612672.cif,1.8,others,Y1B2C2,order
614804.cif,4.1125,others,Mo2B1,order
615126.cif,1.34,others,Sc1Os1B2,order
615147.cif,1.4,others,Y1Os1B4,order
615149.cif,2.22,others,Y1Os1B2,order
615346.cif,10.95775,others,Y1Rh4B4,order
615364.cif,7.27,others,Sc1Ru4B4,order
615399.cif,7.7,others,Y1Ru1B2,order
615406.cif,1.4,others,Y1Ru4B4,order
615710.cif,5.692857,others,Y1B6,order
615755.cif,2.75,others,Zr1B2,order
615870.cif,2.4,others,Ba1Ga1Ge1,order
615923.cif,2.32,others,Hg1Ba1,order
616336.cif,2.5275,others,Be22Mo1,order
616395.cif,2.3,others,Pt1Be5,order
616399.cif,9.51,others,Re1Be22,order
616410.cif,1.35,others,Be2Ru1,order
616431.cif,1.0,others,Ta3Be2,order
616438.cif,5.21,others,Be22Tc1,order
616499.cif,4.12,others,W1Be22,order
616739.cif,2.715,others,Ir1Bi2,order
616874.cif,0.79,others,Bi2Ni3S2,order
616879.cif,0.73,others,Bi2Ni3Se2,order
616956.cif,1.0,others,Bi1Pd1Se1,order
616957.cif,0.96,others,Bi2Pd3Se2,order
616961.cif,1.2,others,Bi1Pd1Te1,order
616991.cif,1.45,others,Pt1Bi1Se1,order
617008.cif,2.04,others,Bi1Rh1,order
617101.cif,4.898,others,Bi2Se3,order
617156.cif,5.7,others,Bi3Sr1,order
617900.cif,3.6,others,Y2Fe1C4,order
617917.cif,3.9,others,Mo2Ga1C1,order
618127.cif,3.1,others,Ti2In1C1,order
618149.cif,10.66,others,La2C3,order
618218.cif,3.33,others,Lu1C2,order
618496.cif,3.933333,others,Nb2C1Sn1,order
618656.cif,1.47,others,U2Pt1C2,order
618840.cif,1.63,others,Ta2C1,order
619112.cif,3.895429,others,Y1C2,order
619211.cif,5.75,others,Ca3Co4Sn13,order
619308.cif,1.7,others,Ir4Ca3Ge13,order
619329.cif,2.1,others,Ca3Rh4Ge13,order
619356.cif,1.6,others,Hg3Ca1,order
619385.cif,6.95,others,Ir4Ca3Sn13,order
619390.cif,13.0,others,Ca1Li2,order
620169.cif,1.8,others,Mo6Cd1S8,order
624958.cif,4.81,others,Sc5Co4Si10,order
625339.cif,0.82,others,Ta2Co1,order
625483.cif,3.44,others,Ti2Co1,order
626570.cif,0.07,others,Rh1Cr3,order
626975.cif,0.75,others,Cs1,order
628449.cif,5.9,others,Mo6Cu1Se8,order
628767.cif,3.794,others,Rh2Cu1S4,order
628790.cif,1.5325,others,Cu1S2,order
629329.cif,1.3,others,Cu1Te2,order
629953.cif,1.6,others,Dy1Mo6S8,order
632825.cif,6.8,others,Nb4Fe1Si1,order
633446.cif,4.57,others,Sc2Fe3Si5,order
633652.cif,1.595,others,Y2Fe3Si5,order
634281.cif,1.3,others,Sr1Ga1Ge1,order
634746.cif,16.888889,others,Nb3Ga1,order
634759.cif,1.35,others,Nb5Ga3,order
634779.cif,1.54,others,Nb1Ni2Ga1,order
635132.cif,1.74,others,Pt1Ga1,order
635137.cif,2.9,others,Pt3Ga7,order
635332.cif,2.1,others,Sc1Ga3,order
635402.cif,5.8,others,Ta4Ga1Se8,order
